,Ploidy,Trt,Time,,,,,Ploidy match,Time match,Treatment match,,,,,,,estimate,SE,df,t.ratio,p.value
98,3M,Treatment22.5,1_start,2M,Treatment27.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,0.468870582,0.072576433,11,6.460369635,0.005560602
99,3M,Treatment22.5,1_start,2M,Treatment7.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,0.411284143,0.07336552,11,5.605959644,0.01689429
100,3M,Treatment22.5,1_start,2M,Treatment17.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,0.433940427,0.073554648,11,5.899565007,0.01146211
101,3M,Treatment22.5,1_start,2M,Treatment22.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,0.372652889,0.057691475,2556,6.459409925,5.39E-08
102,3M,Treatment22.5,1_start,2M,Treatment27.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,0.41874364,0.073628173,11,5.687274654,0.015164754
103,2M,Treatment27.5,1_start,3C,Treatment27.5,1_start,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.277114233,0.055690618,2556,-4.975959038,0.000280088
104,2M,Treatment27.5,1_start,3M,Treatment27.5,1_start,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.457533217,0.055690618,2556,-8.21562474,0
105,2M,Treatment27.5,1_start,3M,Treatment7.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.62481258,0.074234479,2556,-8.416743685,0
106,2M,Treatment27.5,1_start,3C,Treatment12.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.384144375,0.073420111,11,-5.232141009,0.027886508
107,2M,Treatment27.5,1_start,3M,Treatment12.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.71867837,0.073785411,11,-9.740114772,0.000138834
108,2M,Treatment27.5,1_start,3C,Treatment17.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.409494045,0.073911635,11,-5.540319138,0.018438652
109,2M,Treatment27.5,1_start,3M,Treatment17.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.586410222,0.073911634,11,-7.933936666,0.000945423
110,2M,Treatment27.5,1_start,3C,Treatment22.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.427642197,0.074736344,11,-5.722011219,0.014482832
111,2M,Treatment27.5,1_start,3M,Treatment22.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.559022584,0.073329286,11,-7.623455954,0.001351252
112,2M,Treatment27.5,1_start,3C,Treatment27.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,-0.299706012,0.057231894,2556,-5.236695647,7.34E-05
113,2M,Treatment27.5,1_start,3M,Treatment27.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,-0.471093964,0.05741798,2556,-8.204641927,0
114,3C,Treatment27.5,1_start,3M,Treatment7.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.347698347,0.074683646,2556,-4.655615627,0.001308197
115,3C,Treatment27.5,1_start,3M,Treatment12.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.441564137,0.07406843,11,-5.961570116,0.010568518
116,3C,Treatment27.5,1_start,2M,Treatment27.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,0.22698729,0.056834614,2556,3.993821304,0.021142972
117,3M,Treatment27.5,1_start,2M,Treatment7.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,0.399946777,0.074009163,2556,5.404017011,2.99E-05
118,3M,Treatment27.5,1_start,2M,Treatment17.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,0.422603061,0.074323431,11,5.686000432,0.015190392
119,3M,Treatment27.5,1_start,2M,Treatment27.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,0.407406274,0.056834614,2556,7.168277379,5.41E-11
120,2M,Treatment7.5,2_end,3M,Treatment7.5,2_end,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.567226141,0.058003528,2556,-9.779166191,0
121,2M,Treatment7.5,2_end,3M,Treatment12.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.66109193,0.074561704,11,-8.86637365,0.000340036
122,2M,Treatment7.5,2_end,3M,eatment17.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.528823783,0.074686615,11,-7.080569654,0.002576351
123,2M,Treatment7.5,2_end,3C,Treatment22.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.370055758,0.075502861,11,-4.90121506,0.043653014
124,2M,Treatment7.5,2_end,3M,Treatment22.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.501436145,0.074110358,11,-6.766073731,0.003789737
125,2M,Treatment7.5,2_end,3M,Treatment27.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.413507525,0.075317566,2556,-5.490187041,1.86E-05
126,3C,Treatment7.5,2_end,3M,Treatment7.5,2_end,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.366185746,0.059049688,2556,-6.201315545,2.81E-07
127,3C,Treatment7.5,2_end,3M,Treatment12.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.460051535,0.075379961,11,-6.103101303,0.008790549
128,3M,Treatment7.5,2_end,2M,Treatment12.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,0.419522524,0.075488239,11,5.557455461,0.018021921
129,3M,Treatment7.5,2_end,2M,Treatment17.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,0.589882424,0.075481177,11,7.814960588,0.001082984
130,3M,Treatment7.5,2_end,2M,Treatment22.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,0.528594886,0.076985594,11,6.866153289,0.003348588
131,3M,Treatment7.5,2_end,2M,Treatment27.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,0.574685638,0.075429243,2556,7.618870544,0
132,3M,Treatment7.5,2_end,3C,Treatment27.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,0.325106567,0.075839909,2556,4.286747873,0.006624144
133,2M,Treatment12.5,2_end,3M,Treatment12.5,2_end,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.513388313,0.057143458,2556,-8.984201026,0
134,2M,Treatment12.5,2_end,3M,Treatment17.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.381120166,0.074879525,11,-5.089778065,0.03380415
135,3C,Treatment12.5,2_end,3M,Treatment12.5,2_end,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.334533995,0.056326484,2556,-5.939195455,1.40E-06
136,3M,Treatment12.5,2_end,2M,Treatment17.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,0.683748214,0.074747806,11,9.147401802,0.000253313
137,3M,Treatment12.5,2_end,2M,Treatment22.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,0.622460676,0.07626669,11,8.161632246,0.00073153
138,3M,Treatment12.5,2_end,2M,Treatment27.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,0.668551427,0.074820158,11,8.93544526,0.000316121
139,3M,Treatment12.5,2_end,3C,Treatment27.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,0.418972357,0.075234149,11,5.568912053,0.017748747
140,2M,Treatment17.5,2_end,3C,Treatment17.5,2_end,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.37456389,0.057295022,2556,-6.537459592,3.23E-08
141,2M,Treatment17.5,2_end,3M,Treatment17.5,2_end,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.551480066,0.057293451,2556,-9.625534019,0
142,2M,Treatment17.5,2_end,3C,Treatment22.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.392712042,0.075686648,11,-5.1886568,0.029572689
143,2M,Treatment17.5,2_end,3M,Treatment22.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.524092429,0.07429759,11,-7.053962711,0.002660951
144,2M,Treatment17.5,2_end,3M,Treatment27.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.436163808,0.075626397,11,-5.767348792,0.013640329
145,3M,Treatment17.5,2_end,2M,Treatment22.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,0.490192529,0.076388813,11,6.417072191,0.005874683
146,3M,Treatment17.5,2_end,2M,Treatment27.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,0.53628328,0.074944638,11,7.155725754,0.002352437
147,2M,Treatment22.5,2_end,3C,Treatment22.5,2_end,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.331424504,0.060279707,2556,-5.498110721,1.78E-05
148,2M,Treatment22.5,2_end,3M,Treatment22.5,2_end,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.462804891,0.058631795,2556,-7.893411576,0
149,2M,Treatment22.5,2_end,3M,Treatment27.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.374876271,0.077127981,11,-4.860444509,0.046137388
150,3C,Treatment22.5,2_end,2M,Treatment27.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,0.377515255,0.075758104,11,4.983166633,0.039058765
151,3M,Treatment22.5,2_end,2M,Treatment27.5,2_end,,FALSE,TRUE,FALSE,FALSE,,,,,,0.508895642,0.07437038,11,6.842719384,0.003446772
152,2M,Treatment27.5,2_end,3C,Treatment27.5,2_end,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.24957907,0.058335723,2556,-4.278323072,0.006860217
153,2M,Treatment27.5,2_end,3M,Treatment27.5,2_end,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.420967022,0.058526493,2556,-7.192760109,0
