,Treatment,Probe,Run,probe,rate,run,Respirometry.number,Date,Time,Tank,Colour,file.letter,Notes.druing.run,Notes.during.processing,Mass,bgrd,bgrdcorrectedrate,mass_corected_rate,HS,Treatment
109,500,5,23,5,-0.260819942,23,141,11222023,1545,2,Blue,g,,,0.214,-0.101560953,-0.159258989,0.744200883,NOHS,500
110,500,1,27,1,-0.099528214,27,166,11232023,855,15,Red,b,,,0.2959,-0.101560953,0.002032739,0,NOHS,500
111,500,8,26,8,-0.138883892,26,164,11232023,845,15,Green,a,,,0.2446,-0.101560953,-0.037322939,0.152587649,NOHS,500
112,500,4,25,4,-0.313764752,25,154,11222023,1825,15,Green,i,,,0.2603,-0.101560953,-0.212203799,0.81522781,NOHS,500
113,500,2,23,2,-0.171006059,23,139,11222023,1545,2,Red,g,,,0.3327,-0.101560953,-0.069445106,0.208731908,NOHS,500
114,500,2,24,2,-0.396936453,24,146,11222023,1700,9,Blue,h,,,0.2775,-0.101560953,-0.2953755,1.064416216,NOHS,500
115,500,2,26,2,-0.154469143,26,160,11232023,845,2,Green,a,,,0.2452,-0.101560953,-0.05290819,0.215775652,NOHS,500
116,500,1,23,1,-0.165600612,23,138,11222023,1545,2,Red,g,,,0.4983,-0.101560953,-0.064039659,0.128516273,NOHS,500
117,500,7,26,7,-0.181101069,26,163,11232023,845,15,Blue,a,,,0.1796,-0.101560953,-0.079540116,0.442873696,NOHS,500
118,500,1,24,1,-0.331065526,24,145,11222023,1700,9,Blue,h,,,0.2452,-0.101560953,-0.229504573,0.935989286,NOHS,500
119,500,7,28,7,-0.444900511,28,177,11232023,1000,2,Blue,c,,,0.1903,-0.101560953,-0.343339558,1.804201565,NOHS,500
120,500,5,25,5,-0.602437328,25,155,11222023,1825,15,Green,i,,,0.2416,-0.101560953,-0.500876375,2.073163803,NOHS,500
121,500,9,24,9,-0.464948147,24,151,11222023,1700,9,Red,h,,,0.1774,-0.101560953,-0.363387194,2.048405828,NOHS,500
122,500,5,26,5,-0.220291059,26,162,11232023,845,9,Red,a,,,0.2464,-0.101560953,-0.118730106,0.481859196,NOHS,500
123,500,8,28,8,-0.111522308,28,178,11232023,1000,2,Blue,c,,,0.1656,-0.101560953,-0.009961355,0.060153109,NOHS,500
124,500,4,26,4,-0.317268471,26,161,11232023,845,9,Blue,a,,,0.1824,-0.101560953,-0.215707518,1.182607006,NOHS,500
125,500,9,23,9,-0.204640916,23,144,11222023,1545,2,Green,g,,,0.4077,-0.101560953,-0.103079963,0.252832874,NOHS,500
126,500,7,24,7,-0.149805938,24,149,11222023,1700,9,Red,h,,,0.0796,-0.101560953,-0.048244985,0.606092775,NOHS,500
127,500,7,25,7,-0.37707573,25,156,11222023,1825,15,Red,i,,,0.3987,-0.101560953,-0.275514777,0.691032799,NOHS,500
128,500,5,24,5,-1.222444449,24,148,11222023,1700,15,Green,h,,Only opened towards the end,0.583,-0.101560953,-1.120883496,1.9226132,NOHS,500
129,500,7,27,7,-0.135995167,27,170,11232023,855,9,Red,b,,,0.1883,-0.101560953,-0.034434214,0.1828689,NOHS,500
130,500,8,23,8,-0.152463778,23,143,11222023,1545,2,Green,g,,,0.3906,-0.101560953,-0.050902825,0.130319572,NOHS,500
131,500,8,25,8,-0.275814713,25,157,11222023,1825,15,Red,i,,,0.3039,-0.101560953,-0.17425376,0.573391773,NOHS,500
132,500,5,27,5,-0.218281483,27,169,11232023,855,2,Red,b,,,0.3683,-0.101560953,-0.11672053,0.316916997,NOHS,500
133,500HS,1,30,1,-0.169010277,30,187,11232023,1210,15HS,Red,e,,,0.5025,-0.115817107,-0.05319317,0.105857055,HS,500
134,500HS,4,29,4,-0.131929055,29,182,11232023,1107,15HS,Red,d,,,0.4124,-0.115817107,-0.016111948,0.03906874,HS,500
135,500HS,9,29,9,-0.663601384,29,186,11232023,1107,9HS,Blue,d,,,0.2108,-0.115817107,-0.547784277,2.59859714,HS,500
136,500HS,8,33,8,-0.479652798,33,213,11232023,1520,15HS,Blue,h,,,0.3221,-0.115817107,-0.363835691,1.129573708,HS,500
